Company Name,CETC Affiliation,Domain,Website
"Beijing Lianhai Science and Technology Co., Ltd",China Academy of Electronic and Information Technology,caeit.cetc.cn,
"Beijing Lianhai Information Systems Co., Ltd",China Academy of Electronic and Information Technology,caeit.cetc.cn,
"Laishui Smart Technology Development Co., Ltd",China Academy of Electronic and Information Technology,caeit.cetc.cn,
"Xinjiang Lianhai Chuangzhi Information Technology Development Co., Ltd",China Academy of Electronic and Information Technology,caeit.cetc.cn,
"Tiandi Information Network Co., Ltd",China Academy of Electronic and Information Technology,caeit.cetc.cn,
"Beijing Zhuanglian Electronic Engineering Co., Ltd",China Academy of Electronic and Information Technology,caeit.cetc.cn,
Microsystems Technical Research Institute,CETC Information Engineering Research Center,isa.cetc.com.cn,
Information Systems Technical Research Institute,CETC Information Engineering Research Center,isa.cetc.com.cn,
Internet of Things Technical Research Institute,CETC Information Engineering Research Center,isa.cetc.com.cn,
Intellectual Property Center,CETC Information Engineering Research Center,isa.cetc.com.cn,
Project Management Center,CETC Information Engineering Research Center,isa.cetc.com.cn,
"Kaier Lab, CETC 7th Research Institute Group Corporation",CETC 7th Research Institute,dktx.cetc.cn,
"GCI Science & Technology Co., Ltd.",CETC 7th Research Institute,caeit.cetc.cn,
"Guangzhou Hongyu Science and Technology Co., Ltd",CETC 7th Research Institute,dktx.cetc.cn,
National Mobile Communications Engineering Research Center,CETC 7th Research Institute,dktx.cetc.cn,
National Wireless Parts Quality Testing Center,CETC 7th Research Institute,dktx.cetc.cn,
Guangdong Defense Area Computing Station 5103 School Laboratory,CETC 7th Research Institute,dktx.cetc.cn,
Guangzhou Mobile Communications Products Testing Center and 603 Electronics Computing Station,CETC 7th Research Institute,dktx.cetc.cn,
"Guangzhou Tongguang Communication Technology Co., Ltd",CETC 7th Research Institute,dktx.cetc.cn,
"Guangzhou Nanfang Gaoke Comput er Co., Ltd",CETC 7th Research Institute,dktx.cetc.cn,
"Guilin Dawei Communication Technology Co., Ltd",CETC 34th Research Institute,cetc.cn,
"Guilin G-Link Technology Co., Ltd",CETC 34th Research Institute,cetc.cn,
"Guilin Xintong Technology Co., Ltd",CETC 34th Research Institute,cetc.cn,
"Shaanxi Tianyu Jiacheng Real Estate Co., Ltd",CETC 39th Research Institute,cetc.cn,
"Xi'an Tiantong Electronic Technology Co., Ltd",CETC 39th Research Institute,cetc.cn,
CETC (Sanhe) Precision Manufacturing LLC,CETC 39th Research Institute,cetc.cn,
"CETC (Zhejiang) Marine Communication Technology Co., Ltd",CETC 39th Research Institute,cetc.cn,
"METDA Technology Co., Ltd",CETC 13th Research Institute,cetc.cn,metdac.com
"SINOPACK Co., Ltd",CETC 13th Research Institute,cetc.cn,sinopack.com
"Hebei Puxing Electronic Polytron Technologies Co., Ltd",CETC 13th Research Institute,cetc.cn,
"CETC Engineering Construction Co., Ltd.",CETC 13th Research Institute,cetc.cn,cetcxmgl.com
"Hebei Bowei Integrated Circuit Co., Ltd",CETC 13th Research Institute,cetc.cn,
"Tonghui Electronic Technology Co., Ltd",CETC 13th Research Institute,cetc.cn,the-lighting.com
MTMicrosystems,CETC 13th Research Institute,cetc.cn,mtmems.com
"CETC Infrared Engineering Technology Co., Ltd",CETC 13th Research Institute,cetc.cn,
"Beijing CLP Branch Satellite Navigation System Co., Ltd",CETC 13th Research Institute,cetc.cn,
"Glarun Group Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"Glarun Technology Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"CETC Yangzhou Bojun Electronics Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"Beijing Guorui Zhongshu Technology Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"Nanjing Luopu Industry Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"CETC Technology Electronic Information System Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"Jiangsu Guorui Technology Park Development Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"Nanjing Luopu Industry Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"Zhangjiagang Free Trade Zone Guoxin Communication Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
"Nanjing Rail Transit Systems Co., Ltd",CETC 14th Research Institute,14.cetc.cn,
Jiangsu Huaning Electronics Group,CETC 14th Research Institute,14.cetc.cn,
"Chengdu Gastone Technology Co., Ltd",CETC 29th Research Institute,cetc.cn,
"Chengdu Siwei Electronic Co., Ltd",CETC 29th Research Institute,cetc.cn,
"Chengdu Seekon Microwave Communications Co., Ltd",CETC 29th Research Institute,cetc.cn,
"Chengdu Siwi Power Electronic Technology Co., Ltd",CETC 29th Research Institute,cetc.cn,
"Chengdu SIWI High-Tech Industry Co., Ltd",CETC 29th Research Institute,cetc.cn,
"Chengdu Jiayu Technology Co., Ltd",CETC 29th Research Institute,cetc.cn,
"Beijing Starcom Electronic Technology Co., Ltd",CETC 29th Research Institute,cetc.cn,
"Sichuan Jinqiao Information Communication Co., Ltd",CETC 29th Research Institute,cetc.cn,
"Shanghai Institute of Computer Technology Co., Ltd",CETC 32nd Research Institute,cetc.cn,
"Shanghai East China Auto Information Technology Co., Ltd",CETC 32nd Research Institute,cetc.cn,
Shanghai East China Computing Technology Research Institute Experimental Lab,CETC 32nd Research Institute,cetc.cn,
"Shanghai Huayuan Chuanxin Software Co., Ltd",CETC 32nd Research Institute,cetc.cn,
"Shanghai Baifei Electronic Technolo gy Co., Ltd",CETC 32nd Research Institute,cetc.cn,
"Shanghai East-China Computer Co., Ltd",CETC 32nd Research Institute,cetc.cn,caeit.cetc.cn
Shanghai East-China Computer Continuing Education College,CETC 32nd Research Institute,cetc.cn,
"Shanghai East China Computer Liji International Trade Co., Ltd",CETC 32nd Research Institute,cetc.cn,
"Shanghai CETC East-China High-Tech Industrial Co., Ltd",CETC 32nd Research Institute,cetc.cn,
"Nanjing Guosheng Electronic Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Yangzhou Guoyu Electronic Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Nanjing 55th Institute Technological Development Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Nanjing Guobo Electronic Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Shenzhen Maiwei Cable Equipment Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Yangzhou Guoyang Electronic Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Nanjing Aoma Microwave Optoelectronic Product Testing Center Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Nanjing Zhongdian Core Valley High Frequency Devices Industry Technology Research Institute Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Nanjing Xinzhou Electronics Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Nanjing Antai Core Electronics Co., Ltd",CETC 55th Research Institute,cetc.cn,
"CETC Huaying Electronics Co., Ltd",CETC 55th Research Institute,cetc.cn,
"Shenzhen Nandesai Technology Co., Ltd",CETC 55th Research Institute,cetc.cn,
"NEDI Technology Co., Ltd",CETC 55th Research Institute,cetc.cn,
,,,
